hhld_id,premium,loss_amount,loss_ratio,future_clm_ind
15937,133.6,0,0,0
13778,145.8,0,0,0
16063,167,0,0,0
12789,150.3,0,0,0
5122,117,0,0,0
10043,133.6,0,0,0
19925,150.3,0,0,0
6779,94.5,0,0,0
16317,167,0,0,0
1865,120.24,0,0,0
11886,384,0,0,0
13938,120.24,0,0,0
936,108,0,0,0
2944,133.6,0,0,0
9155,278.1,1353.605481,4.867333624,1
7676,197.6,0,0,0
17534,167,0,0,0
17260,345.6,0,0,0
18370,133.6,0,0,0
7673,167,0,0,0
10643,84,0,0,0
5674,222.3,0,0,0
14785,80,0,0,0
17930,150.3,0,0,0
18467,150.3,707.7235504,4.708739524,1
6969,133.6,0,0,0
5316,150.3,0,0,0
3678,157.6,0,0,0
1899,150.3,0,0,0
9858,133.6,0,0,0
5768,120.24,0,0,0
4347,133.6,0,0,0
17678,90,0,0,0
5198,167,0,0,0
16540,162,0,0,0
16085,167,0,0,0
14353,167,0,0,0
10062,247,0,0,0
10059,257.6,0,0,0
10849,100,0,0,0
1953,150.3,0,0,0
17901,188,0,0,0
6706,150.3,0,0,0
12116,100,0,0,0
15977,80,0,0,0
2356,197.6,0,0,0
18727,150.3,0,0,0
14488,247,0,0,0
14195,356.8,0,0,0
8474,432.8,0,0,0
6210,180,0,0,0
2506,150.3,0,0,0
15295,90,0,0,0
269,150.3,0,0,0
4893,167,0,0,0
18549,314,0,0,0
15224,72,0,0,0
2632,150.3,0,0,0
3875,207.2,0,0,0
12727,150.3,0,0,0
8144,167,0,0,0
19122,100,0,0,0
14367,167,0,0,0
6462,251.2,0,0,0
1625,105,0,0,0
15219,150.3,0,0,0
2998,84,0,0,0
13780,150.3,0,0,0
194,167,0,0,0
3923,133.6,0,0,0
19407,314,0,0,0
12201,100,0,0,0
17155,84,0,0,0
1216,100,0,0,0
15229,72,0,0,0
9235,105,0,0,0
16120,314,0,0,0
9999,75.6,0,0,0
15184,322,0,0,0
15676,124,0,0,0
11675,222.48,0,0,0
11362,90,0,0,0
4083,167,0,0,0
7999,384,0,0,0
8842,167,0,0,0
9119,306,0,0,0
19797,167,0,0,0
11722,84,0,0,0
16620,133.6,0,0,0
1959,474,0,0,0
