a.trip_identifier,a.driver_identifier,a.vehicle_identifier,b.risk_segment,a.trip_status,a.begintrip_timestamp_local,a.endtrip_timestamp_local,c.distance_miles_p3,c.trip_fare
6cfc3616-2d1e-4309-b3c5-5da6a59450a5,bbc458a0-27e8-48e8-a3e3-61825c1fce0c,1c63ac44-f4bc-3502-856b-705eaaef91dc,Eats,completed,6/22/2020 12:07,6/22/2020 12:36,1.08,0.494768948
06e09f4d-5e04-4916-8b0f-d2144f6c5fd5,10e9817a-97d3-412c-8e13-a4987baf8774,1d786a86-1391-463e-84f8-4fc96019a4a6,P2P,completed,9/26/2019 11:29,9/26/2019 11:53,1.370837711,0.665844185
57fff5cf-671c-4d85-a4b4-1ff4dafcd052,c85675c9-7c62-49b0-847d-a71e09179bbb,96ac96c4-e744-4125-adeb-20ec6db0cdc7,Licensed,completed,8/12/2020 22:02,8/12/2020 22:11,1.337859689,0.35820981
5be6b677-0e2c-4c91-a4de-6c2047055e2a,29883127-8420-4b51-b386-3b85c93707fb,bcc3369e-78f0-45be-ac79-eaf26ecb9f4d,P2P,completed,9/8/2019 19:28,9/8/2019 19:35,2.293258881,1.856825255
5f6d55cf-a770-48f1-a867-e66a6c59faff,190dbe9b-3ba3-4ef6-81fc-152c5b86158b,55dc275a-2394-44bb-a7e5-b8f0135385c6,P2P,completed,11/13/2019 12:37,11/13/2019 13:06,3.042453761,1.276646224
6e16c16c-3056-485d-9043-ec7e102ab108,f83dfaa8-66c8-48ab-a1f0-9f16197458ef,7a0e9367-07c0-4df3-af83-195c5af4c4ed,Licensed,completed,2/25/2020 13:36,2/25/2020 14:07,1.403322573,0.375378452
72f25713-0800-4268-868d-c1953fd3c6f7,e9d9f0e7-cba1-4029-8947-8bfe70952f9f,21c987c8-4fe0-43dd-88a8-bf05a0873391,P2P,completed,10/26/2019 4:33,10/26/2019 4:57,2.66539638,1.287710591
7ba8e3e6-0904-410a-b969-b230b429f3c0,1fefb02e-f09b-4ccc-beab-254f577f8b74,8e0d0130-dd46-44ef-a1d2-ba575c303b3e,P2P,completed,12/15/2021 7:51,12/15/2021 8:04,23.06030449,11.06403544
8099638f-8c11-49ea-9018-c6468bd48bc9,64ff41cc-e151-4a93-8088-43c92141e9fa,d665b3c3-ec07-4b92-b58c-2cb93341b5a6,P2P,completed,12/11/2021 21:49,12/11/2021 21:54,12.53672892,5.088601688
812d9d8a-be2e-4c9b-8fcc-87b9f4e55d9a,ce2d5219-483c-4c1b-b626-64d5a94ee927,a1b751d1-558a-4829-9546-46893a35eecc,P2P,completed,11/22/2019 18:15,11/22/2019 18:16,1.895691683,0.916260945
