hhld_id,drvr_cnt,veh_cnt,min_age,hoh_age,max_age,avg_age,min_mon_lic,hoh_mon_lic,max_mon_lic,avg_mon_lic,cnt_yth,cnt_female,cnt_male,cnt_married,cnt_single,hoh_married,cnt_auto,cnt_mtrcyc,avg_majr_viol,cnt_majr_viol,cnt_minr_viol,avg_minr_viol,cnt_lic_susp,curnt_insurer,time_w_carr,inforce_ind,prior_bi,fire_ind,homeowner_ind,veh_lien_cnt,veh_lease_cnt,veh_own_cnt,monthly_pay_ind,veh_w_coll_cnt,veh_w_comp_cnt,veh_w_ers_cnt,curnt_bi_low,curnt_bi_upp,credit_score,zipcode
15937,2,1,43.78997795,51.36617645,51.36617645,47.5780772,333.4797354,424.3941174,424.3941174,378.9369264,0,2,0,1,1,TRUE,1,0,0,0,0,0,0,PROGRESSIVE,3,1,25000,0,0,0,0,0,0,1,1,1,100,100,825.9491064,35741
13778,1,1,35.64463054,35.64463054,35.64463054,35.64463054,235.7355665,235.7355665,235.7355665,235.7355665,0,0,1,0,1,FALSE,1,0,0,0,0,0,0,OTHER,1.5,1,25000,1,1,NA,0,0,0,1,1,0,25,25,684.6502157,87884
16063,1,1,16,16,16,16,0,0,0,0,1,1,0,0,1,FALSE,1,0,0,0,2,2,0,FARMERS,5,1,50000,0,1,NA,0,0,0,1,1,1,100,100,596.3182887,81525
12789,1,1,17.88212747,17.88212747,17.88212747,17.88212747,22.58552969,22.58552969,22.58552969,22.58552969,1,1,0,0,1,FALSE,1,0,0,0,0,0,0,OTHER,0,1,1.00E+05,1,0,NA,0,0,1,1,1,1,100,100,636.7578591,35741
5122,1,1,16,16,16,16,0,0,0,0,1,0,1,0,1,FALSE,1,0,0,0,0,0,0,OTHER,2.5,1,25000,0,0,NA,0,0,0,0,1,1,50,50,669.5699916,59792
10043,2,1,35.3888123,49.76649173,49.76649173,42.57765201,232.6657476,405.1979007,405.1979007,318.9318242,0,0,2,2,0,TRUE,1,0,0,0,0,0,0,MISSING,NA,0,NA,0,1,NA,0,0,0,1,1,1,25,25,789.8504945,96391
19925,1,1,35.87224342,35.87224342,35.87224342,35.87224342,238.4669211,238.4669211,238.4669211,238.4669211,0,1,0,0,1,FALSE,1,0,0,0,0,0,0,OTHER,5,1,250000,1,0,NA,0,0,0,1,1,1,25,25,563.6824123,98013
6779,1,1,46.40795263,46.40795263,46.40795263,46.40795263,364.8954316,364.8954316,364.8954316,364.8954316,0,1,0,0,1,FALSE,1,0,0,0,0,0,0,MISSING,NA,0,NA,1,0,NA,0,1,0,0,0,1,25,25,614.3229186,38912
16317,1,1,35.75159157,35.75159157,35.75159157,35.75159157,237.0190989,237.0190989,237.0190989,237.0190989,0,0,1,0,1,FALSE,1,0,0,0,0,0,0,PROGRESSIVE,3,1,50000,0,1,NA,0,0,1,1,1,1,25,25,579.9985794,85767
1865,1,1,51.6274564,51.6274564,51.6274564,51.6274564,427.5294769,427.5294769,427.5294769,427.5294769,0,1,0,0,1,FALSE,1,0,0,0,0,0,0,MISSING,NA,0,NA,1,0,NA,0,0,1,1,1,1,25,25,724.1074852,81525
11886,4,3,19.31866101,43.78997795,43.78997795,37.67214871,39.82393212,333.4797354,333.4797354,260.0657846,0,2,2,2,2,TRUE,3,0,0,0,0,0,0,ALLSTATE,5,1,50000,0,1,NA,0,0,0,2,2,0,25,25,413.2626877,16107
13938,1,1,47.97744859,47.97744859,47.97744859,47.97744859,383.7293831,383.7293831,383.7293831,383.7293831,0,0,1,0,1,FALSE,1,0,0,0,0,0,0,ALLSTATE,5,1,1.00E+05,1,0,NA,0,0,0,1,1,1,50,50,724.4853967,28093
936,1,1,43.07738658,43.07738658,43.07738658,43.07738658,324.9286389,324.9286389,324.9286389,324.9286389,0,1,0,0,1,FALSE,1,0,0,0,0,0,0,MISSING,NA,0,NA,1,1,NA,0,0,0,0,0,0,100,100,393.8668605,80672
2944,1,1,39.46439392,39.46439392,39.46439392,39.46439392,281.572727,281.572727,281.572727,281.572727,0,0,1,0,1,FALSE,0,1,0,0,0,0,0,MISSING,NA,0,NA,0,0,NA,0,1,1,1,1,1,100,100,850,58574
9155,2,2,25.27739354,42.30670836,42.30670836,33.79205095,111.3287225,315.6805003,315.6805003,213.5046114,0,0,2,2,0,TRUE,2,0,0,0,0,0,0,ALLSTATE,1.5,1,25000,1,0,NA,0,2,0,2,2,1,100,100,612.2559601,85767
7676,2,2,47.3497167,58.60200346,58.60200346,52.97586008,376.1966003,511.2240415,511.2240415,443.7103209,0,2,0,1,1,TRUE,2,0,0,0,1,0.5,0,MISSING,NA,0,NA,0,0,NA,0,0,0,1,1,1,100,100,756.8692336,18099
17534,1,1,36.04500755,36.04500755,36.04500755,36.04500755,240.5400906,240.5400906,240.5400906,240.5400906,0,1,0,0,1,FALSE,1,0,0,0,0,0,0,PROGRESSIVE,5,1,250000,0,0,NA,0,0,0,1,1,1,25,25,671.9746665,35741
17260,2,3,29.38355813,45.96193332,45.96193332,37.67274572,160.6026975,359.5431998,359.5431998,260.0729487,0,1,1,0,2,FALSE,3,0,0,0,0,0,0,FARMERS,2,1,1.00E+05,1,0,NA,0,0,1,2,2,0,25,25,685.4401478,41568
18370,2,1,27.38201118,42.63599519,42.63599519,35.00900319,136.5841342,319.6319423,319.6319423,228.1080382,0,1,1,2,0,TRUE,0,1,0,0,0,0,0,ALLSTATE,3,1,25000,0,0,NA,0,0,0,1,1,1,100,100,753.5979096,54018
7673,1,1,23.76544276,23.76544276,23.76544276,23.76544276,93.18531306,93.18531306,93.18531306,93.18531306,0,0,1,0,1,FALSE,1,0,0,0,1,1,0,OTHER,2,1,1.00E+05,0,1,NA,0,0,0,1,1,1,250,250,531.1154115,57609
